,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
47,"frozenset({'KEGS', 'LIQUOR'})","frozenset({'BEER', 'NON-ALCOHOL'})",0.02178649237472767,0.023965141612200435,0.010893246187363835,0.5,20.863636363636363,1.0,0.010371129812370362,1.9520697167755992,0.9732739420935412,0.3125,0.4877232142857143,0.4772727272727273
44,"frozenset({'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'LIQUOR'})",0.023965141612200435,0.02178649237472767,0.010893246187363835,0.4545454545454546,20.863636363636363,1.0,0.010371129812370362,1.7933914306463328,0.9754464285714286,0.3125,0.4423972464061551,0.4772727272727273
55,"frozenset({'BEER', 'LIQUOR'})","frozenset({'KEGS', 'WINE'})",0.06100217864923747,0.0196078431372549,0.015250544662309368,0.25,12.75,1.0,0.01405442351232432,1.3071895424836601,0.9814385150812065,0.2333333333333333,0.23500000000000001,0.5138888888888888
58,"frozenset({'KEGS', 'WINE'})","frozenset({'BEER', 'LIQUOR'})",0.0196078431372549,0.06100217864923747,0.015250544662309368,0.7777777777777778,12.75,1.0,0.01405442351232432,4.2254901960784315,0.9400000000000001,0.2333333333333333,0.7633410672853829,0.5138888888888888
66,"frozenset({'BEER', 'LIQUOR'})","frozenset({'NON-ALCOHOL', 'WINE'})",0.06100217864923747,0.023965141612200435,0.015250544662309368,0.25,10.431818181818182,1.0,0.013788618812327642,1.3013798111837327,0.962877030162413,0.21874999999999997,0.23158482142857142,0.4431818181818182
69,"frozenset({'NON-ALCOHOL', 'WINE'})","frozenset({'BEER', 'LIQUOR'})",0.023965141612200435,0.06100217864923747,0.015250544662309368,0.6363636363636364,10.431818181818182,1.0,0.013788618812327642,2.582244008714597,0.9263392857142857,0.21874999999999997,0.6127399282851719,0.4431818181818182
46,"frozenset({'NON-ALCOHOL', 'KEGS'})","frozenset({'BEER', 'LIQUOR'})",0.017429193899782137,0.06100217864923747,0.010893246187363835,0.625,10.245535714285714,1.0,0.009830027387377125,2.5039941902687,0.9184035476718403,0.16129032258064518,0.6006380510440835,0.4017857142857143
45,"frozenset({'BEER', 'LIQUOR'})","frozenset({'NON-ALCOHOL', 'KEGS'})",0.06100217864923747,0.017429193899782137,0.010893246187363835,0.17857142857142858,10.245535714285714,1.0,0.009830027387377125,1.1961731552524393,0.9610208816705336,0.16129032258064518,0.16400063351282862,0.4017857142857143
56,"frozenset({'BEER', 'WINE'})","frozenset({'KEGS', 'LIQUOR'})",0.0718954248366013,0.02178649237472767,0.015250544662309368,0.21212121212121213,9.736363636363636,1.0,0.013684195537328948,1.2415786827551534,0.9668008048289738,0.19444444444444445,0.19457380036444624,0.45606060606060606
57,"frozenset({'KEGS', 'LIQUOR'})","frozenset({'BEER', 'WINE'})",0.02178649237472767,0.0718954248366013,0.015250544662309368,0.7,9.736363636363636,1.0,0.013684195537328948,3.093681917211329,0.9172764874323894,0.19444444444444445,0.6767605633802817,0.45606060606060606
51,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'KEGS', 'LIQUOR'})",0.05337690631808279,0.02178649237472767,0.010893246187363835,0.20408163265306123,9.36734693877551,1.0,0.009730350624878372,1.2290374839394447,0.9436133486766399,0.1694915254237288,0.1863551656742875,0.3520408163265306
32,frozenset({'NON-ALCOHOL'}),"frozenset({'KEGS', 'LIQUOR'})",0.05337690631808279,0.02178649237472767,0.010893246187363835,0.20408163265306123,9.36734693877551,1.0,0.009730350624878372,1.2290374839394447,0.9436133486766399,0.1694915254237288,0.1863551656742875,0.3520408163265306
40,"frozenset({'BEER', 'KEGS', 'LIQUOR'})",frozenset({'NON-ALCOHOL'}),0.02178649237472767,0.05337690631808279,0.010893246187363835,0.5,9.36734693877551,1.0,0.009730350624878372,1.8932461873638344,0.9131403118040089,0.1694915254237288,0.4718066743383199,0.3520408163265306
